Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Situación crítica por Colisión frontal en Maipú,"Autoridades confirmaron un colisión frontal en Maipú, Mendoza. El incidente resultando en el cierre temporal de escuelas y comercios. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Colisión frontal,-32.929138,-68.829722,19/07/2016
"Serio incidente: Deflagración en planta industrial en Villa Regina, Río Negro","Un grave deflagración en planta industrial se registró en Villa Regina, Río Negro. El incidente afectando el normal desarrollo de actividades en la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Deflagración en planta industrial,-39.090595,-67.113946,04/01/2004
Declaran emergencia tras Colapso por fallas estructurales en Presidencia Roque Sáenz Peña,"Autoridades confirmaron un colapso por fallas estructurales en Presidencia Roque Sáenz Peña, Chaco. El incidente con un saldo inicial de varias personas heridas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Colapso por fallas estructurales,-26.812458,-60.470642,07/04/2021
Declaran emergencia tras Accidente en paso a nivel en General Roca,"Grave accidente en paso a nivel ocurrió en las inmediaciones de General Roca, Río Negro. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente en paso a nivel,-39.03107,-67.628545,15/10/2011
Las Heras afectado por Accidente ferroviario con pasajeros,"Autoridades confirmaron un accidente ferroviario con pasajeros en Las Heras, Santa Cruz. El incidente afectando el normal desarrollo de actividades en la zona. Equipos de rescate continúan buscando posibles víctimas.",Accidente ferroviario con pasajeros,-46.536293,-68.887948,31/10/2005
"Pérdida de gas con evacuación genera crisis en General Roca, Río Negro","Grave pérdida de gas con evacuación ocurrió en las inmediaciones de General Roca, Río Negro. El incidente provocando cortes de energía y problemas en el suministro de agua. El municipio ha activado el protocolo de emergencias para esta situación.",Pérdida de gas con evacuación,-39.035106,-67.551927,27/08/2011
Equipos de emergencia atienden Colisión de tren de carga en Arroyito,"Grave colisión de tren de carga ocurrió en las inmediaciones de Arroyito, Córdoba. El incidente destruyendo viviendas y dejando a familias evacuadas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Colisión de tren de carga,-31.407297,-63.072986,31/08/2002
Accidente ferroviario con pasajeros causa estragos en Trenque Lauquen,"Autoridades confirmaron un accidente ferroviario con pasajeros en Trenque Lauquen, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Accidente ferroviario con pasajeros,-35.999503,-62.719887,20/06/2010
"Choque de formaciones ferroviarias afecta a Belén, Catamarca","Grave choque de formaciones ferroviarias ocurrió en las inmediaciones de Belén, Catamarca. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Choque de formaciones ferroviarias,-27.692003,-67.058769,07/06/2001
Se reporta Choque en cadena en zona de Guaymallén,"Grave choque en cadena ocurrió en las inmediaciones de Guaymallén, Mendoza. El incidente provocando la activación de protocolos de emergencia. La población ha sido alertada para tomar precauciones adicionales.",Choque en cadena,-32.903956,-68.827967,16/09/2014
"Accidente en paso a nivel deja múltiples daños en Trelew, Chubut","Grave accidente en paso a nivel ocurrió en las inmediaciones de Trelew, Chubut. El incidente provocando pánico entre los residentes locales. La población ha sido alertada para tomar precauciones adicionales.",Accidente en paso a nivel,-43.235803,-65.321488,19/09/2001
"Emergencia por Accidente de tránsito múltiple en Luján de Cuyo, Mendoza","Un grave accidente de tránsito múltiple se registró en Luján de Cuyo, Mendoza. El incidente dejando a la población incomunicada por varias horas. La población ha sido alertada para tomar precauciones adicionales.",Accidente de tránsito múltiple,-33.042568,-68.832236,02/10/2018
"Evacuaciones por Colisión de tren de carga en Chamical, La Rioja","Grave colisión de tren de carga ocurrió en las inmediaciones de Chamical, La Rioja. El incidente bloqueando las principales vías de acceso. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Colisión de tren de carga,-30.404021,-66.338494,03/06/2011
"Alerta por Colapso de estructura en El Bolsón, Río Negro","Grave colapso de estructura ocurrió en las inmediaciones de El Bolsón, Río Negro. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Colapso de estructura,-41.940642,-71.553459,26/01/2006
Villa Carlos Paz afectado por Detonación en fábrica,"Un grave detonación en fábrica se registró en Villa Carlos Paz, Córdoba. El incidente dejando a varios sectores sin comunicación. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Detonación en fábrica,-31.443225,-64.519735,17/12/2009
Emergencia por Accidente de helicóptero en Río Gallegos,"Un grave accidente de helicóptero se registró en Río Gallegos, Santa Cruz. El incidente resultando en el cierre temporal de escuelas y comercios. La población ha sido alertada para tomar precauciones adicionales.",Accidente de helicóptero,-51.600224,-69.245995,26/03/2016
"Eldorado en alerta por Fuego en centro comercial, Misiones","Grave fuego en centro comercial ocurrió en las inmediaciones de Eldorado, Misiones. El incidente resultando en el cierre temporal de escuelas y comercios. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fuego en centro comercial,-26.371444,-54.616733,26/06/2022
"Habitantes de Tandil afrontan Estallido con víctimas, Buenos Aires","Autoridades confirmaron un estallido con víctimas en Tandil, Buenos Aires. El incidente con un saldo inicial de varias personas heridas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Estallido con víctimas,-37.36233,-59.099704,03/12/2020
"Devastador Derrumbe parcial afecta a Concepción del Uruguay, Entre Ríos","Un grave derrumbe parcial se registró en Concepción del Uruguay, Entre Ríos. El incidente afectando gravemente la infraestructura local. El municipio ha activado el protocolo de emergencias para esta situación.",Derrumbe parcial,-32.462485,-58.235011,02/12/2003
San Ramón de la Nueva Orán sufre las consecuencias de Fallo en estación transformadora,"Un grave fallo en estación transformadora se registró en San Ramón de la Nueva Orán, Salta. El incidente interrumpiendo servicios básicos en toda la zona. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Fallo en estación transformadora,-23.141005,-64.350689,19/10/2013
"Devastador Emanación de gas tóxico afecta a Trelew, Chubut","Un grave emanación de gas tóxico se registró en Trelew, Chubut. El incidente causando pérdidas millonarias y afectando a cientos de personas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Emanación de gas tóxico,-43.246759,-65.343333,04/01/2020
Declaran emergencia tras Explosión de origen desconocido en Las Breñas,"Grave explosión de origen desconocido ocurrió en las inmediaciones de Las Breñas, Chaco. El incidente afectando gravemente la infraestructura local. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Explosión de origen desconocido,-27.110111,-61.077046,18/07/2021
"Habitantes de Las Breñas afrontan Caída de aeronave, Chaco","Autoridades confirmaron un caída de aeronave en Las Breñas, Chaco. El incidente provocando pánico entre los residentes locales. Se han habilitado refugios temporales para las familias afectadas.",Caída de aeronave,-27.106075,-61.121837,27/05/2011
Autoridades responden a Fallo en estación transformadora en Tunuyán,"Un grave fallo en estación transformadora se registró en Tunuyán, Mendoza. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Fallo en estación transformadora,-33.564023,-69.053299,15/12/2006
"Gas con riesgo de explosión causa estragos en Luján de Cuyo, Mendoza","Un grave gas con riesgo de explosión se registró en Luján de Cuyo, Mendoza. El incidente generando preocupación entre autoridades provinciales. La población ha sido alertada para tomar precauciones adicionales.",Gas con riesgo de explosión,-33.058209,-68.839446,14/09/2003
Fuego en local comercial afecta a Cosquín,"Autoridades confirmaron un fuego en local comercial en Cosquín, Córdoba. El incidente generando caos en el transporte público y privado. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fuego en local comercial,-31.200139,-64.426706,29/03/2024
"Habitantes de Añatuya afrontan Fallo en planta procesadora, Santiago del Estero","Un grave fallo en planta procesadora se registró en Añatuya, Santiago del Estero. El incidente destruyendo viviendas y dejando a familias evacuadas. Se han habilitado refugios temporales para las familias afectadas.",Fallo en planta procesadora,-28.493136,-62.884496,22/12/2000
Declaran emergencia tras Fuga en planta industrial en Morón,"Un grave fuga en planta industrial se registró en Morón, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Fuga en planta industrial,-34.690227,-58.630549,28/06/2001
Fuga en planta industrial provoca emergencia en Puerto Iguazú,"Grave fuga en planta industrial ocurrió en las inmediaciones de Puerto Iguazú, Misiones. El incidente provocando cortes de energía y problemas en el suministro de agua. Equipos de rescate continúan buscando posibles víctimas.",Fuga en planta industrial,-25.574019,-54.572331,16/08/2023
Se reporta Choque en cadena en zona de Olavarría,"Un grave choque en cadena se registró en Olavarría, Buenos Aires. El incidente afectando el normal desarrollo de actividades en la zona. La población ha sido alertada para tomar precauciones adicionales.",Choque en cadena,-36.886882,-60.353002,08/01/2004
Impacto de Interrupción del suministro eléctrico en comunidad de Viedma,"Grave interrupción del suministro eléctrico ocurrió en las inmediaciones de Viedma, Río Negro. El incidente dejando varios heridos y daños materiales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Interrupción del suministro eléctrico,-40.852207,-63.032092,28/11/2003
"Emergencia en aeropuerto causa estragos en Rivadavia, San Juan","Grave emergencia en aeropuerto ocurrió en las inmediaciones de Rivadavia, San Juan. El incidente interrumpiendo servicios básicos en toda la zona. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Emergencia en aeropuerto,-31.555167,-68.569364,03/12/2012
Alerta por Descarrilamiento con derrame en La Plata,"Grave descarrilamiento con derrame ocurrió en las inmediaciones de La Plata, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Descarrilamiento con derrame,-34.905314,-57.94383,29/07/2011
"Choque en cadena causa estragos en San Luis, San Luis","Autoridades confirmaron un choque en cadena en San Luis, San Luis. El incidente generando caos en el transporte público y privado. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Choque en cadena,-33.333246,-66.380948,04/11/2013
"Marcos Juárez sufre las consecuencias de Corte prolongado de energía, Córdoba","Autoridades confirmaron un corte prolongado de energía en Marcos Juárez, Córdoba. El incidente provocando pánico entre los residentes locales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Corte prolongado de energía,-32.73199,-62.151068,19/10/2006
"Declaran emergencia tras Fallo en planta procesadora en Quitilipi, Chaco","Grave fallo en planta procesadora ocurrió en las inmediaciones de Quitilipi, Chaco. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Fallo en planta procesadora,-26.883693,-60.180644,22/11/2007
Equipos de emergencia atienden Fallo en planta procesadora en Goya,"Un grave fallo en planta procesadora se registró en Goya, Corrientes. El incidente provocando pánico entre los residentes locales. Equipos de rescate continúan buscando posibles víctimas.",Fallo en planta procesadora,-29.152854,-59.231181,02/11/2001
Vuelco de vehículo de pasajeros causa estragos en Balcarce,"Autoridades confirmaron un vuelco de vehículo de pasajeros en Balcarce, Buenos Aires. El incidente generando caos en el transporte público y privado. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Vuelco de vehículo de pasajeros,-37.857704,-58.254226,28/01/2012
Autoridades responden a Choque de formaciones ferroviarias en Viedma,"Un grave choque de formaciones ferroviarias se registró en Viedma, Río Negro. El incidente afectando el normal desarrollo de actividades en la zona. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Choque de formaciones ferroviarias,-40.830894,-62.987487,18/03/2011
Fuego destructivo en zona urbana provoca emergencia en Necochea,"Autoridades confirmaron un fuego destructivo en zona urbana en Necochea, Buenos Aires. El incidente bloqueando las principales vías de acceso. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fuego destructivo en zona urbana,-38.542568,-58.768898,11/09/2005
"Equipos de emergencia atienden Caída de construcción en Tunuyán, Mendoza","Un grave caída de construcción se registró en Tunuyán, Mendoza. El incidente generando serios daños ambientales en la región. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Caída de construcción,-33.539376,-69.000094,13/12/2017
"Humahuaca en alerta por Choque de formaciones ferroviarias, Jujuy","Un grave choque de formaciones ferroviarias se registró en Humahuaca, Jujuy. El incidente obligando a evacuar a residentes de la zona. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Choque de formaciones ferroviarias,-23.164067,-65.361834,18/10/2015
"Serio incidente: Incendio en depósito en Guaymallén, Mendoza","Grave incendio en depósito ocurrió en las inmediaciones de Guaymallén, Mendoza. El incidente interrumpiendo servicios básicos en toda la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Incendio en depósito,-32.896263,-68.827417,30/04/2000
Accidente de avión provoca emergencia en Chamical,"Grave accidente de avión ocurrió en las inmediaciones de Chamical, La Rioja. El incidente generando preocupación entre autoridades provinciales. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Accidente de avión,-30.370054,-66.300192,20/02/2001
"Vuelco de vehículo de pasajeros deja múltiples daños en Tinogasta, Catamarca","Grave vuelco de vehículo de pasajeros ocurrió en las inmediaciones de Tinogasta, Catamarca. El incidente provocando cortes de energía y problemas en el suministro de agua. El municipio ha activado el protocolo de emergencias para esta situación.",Vuelco de vehículo de pasajeros,-28.101981,-67.579669,17/02/2008
"Habitantes de Yerba Buena afrontan Emergencia en zona industrial, Tucumán","Un grave emergencia en zona industrial se registró en Yerba Buena, Tucumán. El incidente provocando la activación de protocolos de emergencia. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Emergencia en zona industrial,-26.791296,-65.333324,07/02/2022
Situación crítica por Accidente ferroviario con pasajeros en Barranqueras,"Grave accidente ferroviario con pasajeros ocurrió en las inmediaciones de Barranqueras, Chaco. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Accidente ferroviario con pasajeros,-27.43667,-58.956354,24/12/2017
"Consecuencias graves tras Incendio en depósito en Cutral Có, Neuquén","Un grave incendio en depósito se registró en Cutral Có, Neuquén. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Incendio en depósito,-38.968801,-69.236807,02/12/2020
Tigre afectado por Emanación de gas tóxico,"Grave emanación de gas tóxico ocurrió en las inmediaciones de Tigre, Buenos Aires. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Emanación de gas tóxico,-34.409981,-58.624988,09/01/2024
"Accidente de avión deja múltiples daños en Goya, Corrientes","Grave accidente de avión ocurrió en las inmediaciones de Goya, Corrientes. El incidente generando preocupación entre autoridades provinciales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente de avión,-29.190656,-59.230109,11/08/2002
Incendio en fábrica causa estragos en Andalgalá,"Autoridades confirmaron un incendio en fábrica en Andalgalá, Catamarca. El incidente dejando un rastro de destrucción importante. La población ha sido alertada para tomar precauciones adicionales.",Incendio en fábrica,-27.607437,-66.275918,23/11/2003
Preocupación por Accidente con maquinaria industrial en Santa María,"Autoridades confirmaron un accidente con maquinaria industrial en Santa María, Catamarca. El incidente interrumpiendo servicios básicos en toda la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Accidente con maquinaria industrial,-26.680919,-66.086189,26/06/2006
San Telmo sufre las consecuencias de Fuga en planta industrial,"Un grave fuga en planta industrial se registró en San Telmo, CABA. El incidente interrumpiendo servicios básicos en toda la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fuga en planta industrial,-34.586592,-58.320369,05/09/2018
Lomas de Zamora en alerta por Accidente de tránsito múltiple,"Grave accidente de tránsito múltiple ocurrió en las inmediaciones de Lomas de Zamora, Buenos Aires. El incidente bloqueando las principales vías de acceso. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Accidente de tránsito múltiple,-34.76027,-58.398709,07/10/2023
"Atropello masivo causa estragos en Las Lomitas, Formosa","Autoridades confirmaron un atropello masivo en Las Lomitas, Formosa. El incidente dejando varios heridos y daños materiales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Atropello masivo,-24.748077,-60.582766,30/03/2014
Apóstoles sufre las consecuencias de Accidente de avión,"Autoridades confirmaron un accidente de avión en Apóstoles, Misiones. El incidente dejando a varios sectores sin comunicación. La población ha sido alertada para tomar precauciones adicionales.",Accidente de avión,-27.900209,-55.762112,08/04/2010
"Consecuencias graves tras Colapso por fallas estructurales en Chamical, La Rioja","Grave colapso por fallas estructurales ocurrió en las inmediaciones de Chamical, La Rioja. El incidente afectando el normal desarrollo de actividades en la zona. Equipos de rescate continúan buscando posibles víctimas.",Colapso por fallas estructurales,-30.329886,-66.2773,07/01/2015
Devastador Colapso en red de distribución afecta a Mercedes,"Grave colapso en red de distribución ocurrió en las inmediaciones de Mercedes, Corrientes. El incidente afectando el normal desarrollo de actividades en la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Colapso en red de distribución,-29.195374,-58.125312,29/07/2021
Equipos de emergencia atienden Incendio con víctimas en Lomas de Zamora,"Grave incendio con víctimas ocurrió en las inmediaciones de Lomas de Zamora, Buenos Aires. El incidente causando daños en cultivos y producción agrícola. Bomberos y personal de seguridad trabajan intensamente en la zona.",Incendio con víctimas,-34.726082,-58.39341,21/02/2003
Devastador Estallido de gasoducto afecta a Villa Carlos Paz,"Un grave estallido de gasoducto se registró en Villa Carlos Paz, Córdoba. El incidente generando caos en el transporte público y privado. Bomberos y personal de seguridad trabajan intensamente en la zona.",Estallido de gasoducto,-31.459744,-64.509736,14/02/2005
Devastador Accidente de helicóptero afecta a Aimogasta,"Un grave accidente de helicóptero se registró en Aimogasta, La Rioja. El incidente dejando a varios sectores sin comunicación. La población ha sido alertada para tomar precauciones adicionales.",Accidente de helicóptero,-28.56121,-66.820706,18/04/2020
"Victorica afectado por Deflagración en planta industrial, La Pampa","Un grave deflagración en planta industrial se registró en Victorica, La Pampa. El incidente con un saldo inicial de varias personas heridas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Deflagración en planta industrial,-36.252228,-65.384371,11/06/2004
Se reporta Fallo en sistema eléctrico en zona de Marcos Juárez,"Un grave fallo en sistema eléctrico se registró en Marcos Juárez, Córdoba. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Fallo en sistema eléctrico,-32.722214,-62.099403,22/01/2013
"Impacto de Explosión seguida de incendio en comunidad de Balcarce, Buenos Aires","Grave explosión seguida de incendio ocurrió en las inmediaciones de Balcarce, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Explosión seguida de incendio,-37.802286,-58.288417,22/11/2019
"Serio incidente: Escape de gas domiciliario en Tandil, Buenos Aires","Grave escape de gas domiciliario ocurrió en las inmediaciones de Tandil, Buenos Aires. El incidente generando serios daños ambientales en la región. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Escape de gas domiciliario,-37.336792,-59.180323,08/11/2005
Alerta por Accidente con maquinaria industrial en Famaillá,"Un grave accidente con maquinaria industrial se registró en Famaillá, Tucumán. El incidente obligando a evacuar a residentes de la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Accidente con maquinaria industrial,-27.021895,-65.443488,06/03/2023
Impacto de Atropello masivo en comunidad de San Martín,"Grave atropello masivo ocurrió en las inmediaciones de San Martín, Mendoza. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Atropello masivo,-33.031124,-68.512017,08/11/2019
Incendio en depósito afecta a San Ramón de la Nueva Orán,"Autoridades confirmaron un incendio en depósito en San Ramón de la Nueva Orán, Salta. El incidente obligando a evacuar a residentes de la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.",Incendio en depósito,-23.15035,-64.34472,13/04/2024
"Confirman Colisión grave en ruta de gran magnitud en Eduardo Castex, La Pampa","Un grave colisión grave en ruta se registró en Eduardo Castex, La Pampa. El incidente con un saldo inicial de varias personas heridas. Se han habilitado refugios temporales para las familias afectadas.",Colisión grave en ruta,-35.905764,-64.306552,23/09/2006
Se reporta Fuga masiva de gas natural en zona de Presidencia Roque Sáenz Peña,"Grave fuga masiva de gas natural ocurrió en las inmediaciones de Presidencia Roque Sáenz Peña, Chaco. El incidente con un saldo inicial de varias personas heridas. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fuga masiva de gas natural,-26.747572,-60.396262,23/10/2013
Confirman Accidente con maquinaria industrial de gran magnitud en Puerto Iguazú,"Autoridades confirmaron un accidente con maquinaria industrial en Puerto Iguazú, Misiones. El incidente dejando un rastro de destrucción importante. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Accidente con maquinaria industrial,-25.599388,-54.558919,08/12/2019
Devastador Incendio con víctimas afecta a Corrientes,"Autoridades confirmaron un incendio con víctimas en Corrientes, Corrientes. El incidente resultando en el cierre temporal de escuelas y comercios. Se han habilitado refugios temporales para las familias afectadas.",Incendio con víctimas,-27.51733,-58.804019,21/10/2013
"Declaran emergencia tras Choque de formaciones ferroviarias en Yerba Buena, Tucumán","Grave choque de formaciones ferroviarias ocurrió en las inmediaciones de Yerba Buena, Tucumán. El incidente generando serios daños ambientales en la región. Bomberos y personal de seguridad trabajan intensamente en la zona.",Choque de formaciones ferroviarias,-26.855264,-65.355572,07/09/2001
"Habitantes de General Roca afrontan Derrumbe en obra en construcción, Río Negro","Grave derrumbe en obra en construcción ocurrió en las inmediaciones de General Roca, Río Negro. El incidente bloqueando las principales vías de acceso. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Derrumbe en obra en construcción,-39.043591,-67.615084,24/06/2003
"Cutral Có en alerta por Accidente en planta industrial, Neuquén","Un grave accidente en planta industrial se registró en Cutral Có, Neuquén. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Accidente en planta industrial,-38.926689,-69.254205,20/04/2012
"Consecuencias graves tras Derrumbe parcial en Río Cuarto, Córdoba","Autoridades confirmaron un derrumbe parcial en Río Cuarto, Córdoba. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Derrumbe parcial,-33.163826,-64.339322,20/09/2012
"Equipos de emergencia atienden Accidente de avión en Jesús María, Córdoba","Un grave accidente de avión se registró en Jesús María, Córdoba. El incidente generando preocupación entre autoridades provinciales. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Accidente de avión,-31.004817,-64.146544,17/03/2019
"Avioneta caída sorprende a habitantes de Frías, Santiago del Estero","Autoridades confirmaron un avioneta caída en Frías, Santiago del Estero. El incidente provocando la activación de protocolos de emergencia. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Avioneta caída,-28.643688,-65.156269,27/09/2004
Jardín América afectado por Explosión en zona residencial,"Autoridades confirmaron un explosión en zona residencial en Jardín América, Misiones. El incidente generando preocupación entre autoridades provinciales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Explosión en zona residencial,-27.087171,-55.217006,20/07/2004
Serio incidente: Incidente en fábrica en Resistencia,"Un grave incidente en fábrica se registró en Resistencia, Chaco. El incidente generando caos en el transporte público y privado. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incidente en fábrica,-27.463383,-58.984034,09/06/2008
Córdoba en alerta por Incendio en viviendas,"Autoridades confirmaron un incendio en viviendas en Córdoba, Córdoba. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Incendio en viviendas,-31.371644,-64.15115,31/03/2021
Preocupación por Colisión grave en ruta en San Lorenzo,"Autoridades confirmaron un colisión grave en ruta en San Lorenzo, Santa Fe. El incidente generando preocupación entre autoridades provinciales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Colisión grave en ruta,-32.697992,-60.765925,04/11/2010
"Incendio en fábrica genera crisis en San Luis, San Luis","Autoridades confirmaron un incendio en fábrica en San Luis, San Luis. El incidente resultando en el cierre temporal de escuelas y comercios. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Incendio en fábrica,-33.33028,-66.345701,16/04/2015
"Impacto de Colapso en red de distribución en comunidad de San Carlos de Bariloche, Río Negro","Grave colapso en red de distribución ocurrió en las inmediaciones de San Carlos de Bariloche, Río Negro. El incidente con un saldo inicial de varias personas heridas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Colapso en red de distribución,-41.104972,-71.344971,03/09/2022
Autoridades responden a Accidente en refinería en Centenario,"Grave accidente en refinería ocurrió en las inmediaciones de Centenario, Neuquén. El incidente generando serios daños ambientales en la región. El municipio ha activado el protocolo de emergencias para esta situación.",Accidente en refinería,-38.787018,-68.131505,04/02/2021
"Fuego en centro comercial impacta en Villa Ángela, Chaco","Grave fuego en centro comercial ocurrió en las inmediaciones de Villa Ángela, Chaco. El incidente provocando cortes de energía y problemas en el suministro de agua. Bomberos y personal de seguridad trabajan intensamente en la zona.",Fuego en centro comercial,-27.524397,-60.741122,06/03/2024
"Alerta por Interrupción del suministro eléctrico en Las Lomitas, Formosa","Autoridades confirmaron un interrupción del suministro eléctrico en Las Lomitas, Formosa. El incidente afectando el normal desarrollo de actividades en la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Interrupción del suministro eléctrico,-24.747936,-60.619208,27/08/2023
"Avellaneda sufre las consecuencias de Apagón por tormenta, Buenos Aires","Grave apagón por tormenta ocurrió en las inmediaciones de Avellaneda, Buenos Aires. El incidente provocando la activación de protocolos de emergencia. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Apagón por tormenta,-34.671865,-58.359957,04/07/2015
Posadas sufre las consecuencias de Incidente en fábrica,"Autoridades confirmaron un incidente en fábrica en Posadas, Misiones. El incidente afectando gravemente la infraestructura local. Se han habilitado refugios temporales para las familias afectadas.",Incidente en fábrica,-27.342502,-55.861302,16/06/2012
Escape de gas genera crisis en Frías,"Un grave escape de gas se registró en Frías, Santiago del Estero. El incidente dejando un rastro de destrucción importante. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Escape de gas,-28.622929,-65.166049,11/12/2014
"Habitantes de Tilcara afrontan Fuga masiva de gas natural, Jujuy","Autoridades confirmaron un fuga masiva de gas natural en Tilcara, Jujuy. El incidente dejando a la población incomunicada por varias horas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Fuga masiva de gas natural,-23.543543,-65.369266,23/12/2004
Santo Tomé afectado por Fallo en sistema eléctrico,"Autoridades confirmaron un fallo en sistema eléctrico en Santo Tomé, Corrientes. El incidente obligando a evacuar a residentes de la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fallo en sistema eléctrico,-28.571787,-56.016862,14/09/2014
"Evacuaciones por Colisión grave en ruta en Olavarría, Buenos Aires","Autoridades confirmaron un colisión grave en ruta en Olavarría, Buenos Aires. El incidente interrumpiendo servicios básicos en toda la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Colisión grave en ruta,-36.940739,-60.325437,01/08/2005
Equipos de emergencia atienden Avioneta caída en Cruz del Eje,"Autoridades confirmaron un avioneta caída en Cruz del Eje, Córdoba. El incidente destruyendo viviendas y dejando a familias evacuadas. La población ha sido alertada para tomar precauciones adicionales.",Avioneta caída,-30.708307,-64.782714,03/01/2018
"Emergencia en aeropuerto sorprende a habitantes de San Isidro, Buenos Aires","Autoridades confirmaron un emergencia en aeropuerto en San Isidro, Buenos Aires. El incidente dejando un rastro de destrucción importante. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Emergencia en aeropuerto,-34.431225,-58.499336,04/10/2012
"Chimbas en alerta por Accidente en refinería, San Juan","Autoridades confirmaron un accidente en refinería en Chimbas, San Juan. El incidente generando preocupación entre autoridades provinciales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Accidente en refinería,-31.433376,-68.500956,21/12/2002
